PLANT,Sanskrit/Ayurvedic Names,plant part,COMPOUND,pubchem ID,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic,cancer type,Toxicity (LD50)mg/kg,Prediction,PROTEIN TARGET,DOI NUMBER
taxus baccata,"mandukparni, talispatra, barahmi",plant,docetaxel,148124,Molecule 448,CC(=O)OC12COC1CC(C1(C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(C(c3ccccc3)NC(=O)OC(C)(C)C)O)C(=C(C2(C)C)C(C1=O)O)C)C)O,C43H53NO14,807.88,58,12,0.56,14,14,5,205.25,224.45,3.4,2.81,2.94,1.06,3.51,2.74,-5.85,1.15E-03,1.42E-06,Moderately soluble,-7.18,5.33E-05,6.60E-08,Poorly soluble,-6.66,1.76E-04,2.18E-07,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-9.23,2,3,2,1,3,0.17,0,2,2,8.39,breast cancer,NA,Inactive,,
,,shoot,(-)-MATAIRESINOL,119205,Molecule 449,COc1cc(ccc1O)CC1C(=O)OCC1Cc1ccc(c(c1)OC)O,C20H22O6,358.39,26,12,0.35,6,6,2,96.13,85.22,2.47,3.26,2.69,1.9,3.45,2.75,-4.06,3.11E-02,8.68E-05,Moderately soluble,-4.72,6.77E-03,1.89E-05,Moderately soluble,-5.06,3.11E-03,8.67E-06,Moderately soluble,High,No,No,No,No,No,Yes,Yes,-6.17,0,0,0,0,0,0.55,0,0,1,3.3,,1500,Inactive/Active,,
,,twig,(-)-SECOISOLARICIRESINOL,65373,Molecule 450,OCC(C(Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,C20H26O6,362.42,26,12,0.4,9,6,4,99.28,99.38,2.98,2.52,2.12,1.56,3.34,2.5,-3.42,1.37E-01,3.78E-04,Soluble,-4.25,2.02E-02,5.58E-05,Moderately soluble,-4.54,1.05E-02,2.90E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.72,0,0,0,0,0,0.55,0,0,2,3.21,,2000,Inactive,,
,,twig,(-)-RHODODENDROL,919205,Molecule 451,CC(CCc1ccc(cc1)O)O,C10H14O2,166.22,12,6,0.4,3,2,2,49.01,40.46,1.83,1.93,1.71,1.83,2.04,1.87,-2.26,9.17E-01,5.52E-03,Soluble,-2.4,6.56E-01,3.95E-03,Soluble,-2.48,5.45E-01,3.28E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.94,0,0,0,0,1,0.55,0,0,1,1.47,,2000,Inactive,,
,,twig,10-DEACETYLBACCATIN,154272,Molecule 452,CC(=O)OC12COC1CC(C1(C2C(OC(=O)c2ccccc2)C2(O)CC(O)C(=C(C2(C)C)C(C1=O)O)C)C)O,C29H36O10,544.59,39,6,0.62,5,10,4,136.51,159.82,1.87,0.62,1.08,0.65,1.92,1.23,-3.39,2.21E-01,4.07E-04,Soluble,-3.55,1.53E-01,2.81E-04,Soluble,-3.79,8.87E-02,1.63E-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-9.18,1,3,1,1,1,0.55,0,2,1,6.77,,34,Inactive,,
cannabis sativa,Bhanga ,plant  ,tetrahydrocannabinol,16078,Molecule 453,CCCCCc1cc(O)c2c(c1)OC(C1C2C=C(C)CC1)(C)C,C21H30O2,314.46,23,6,0.62,4,2,1,97.91,29.46,3.9,6.97,5.74,4.39,5.41,5.28,-6.11,2.44E-04,7.77E-07,Poorly soluble,-7.4,1.24E-05,3.96E-08,Poorly soluble,-5.93,3.69E-04,1.17E-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,No,-3.27,1,1,0,0,1,0.55,0,1,1,4.27,cancer pain,482,Inactive/Active,,
,,plant  ,ALPHA-BISABOLOL,1549992,Molecule 454,CC(=CCCC(C1CCC(=CC1)C)(O)C)C,C15H26O,222.37,16,0,0.73,4,1,1,72.36,20.23,3.46,3.79,4.23,3.56,3.74,3.76,-3.34,1.01E-01,4.55E-04,Soluble,-3.91,2.74E-02,1.23E-04,Soluble,-3,2.24E-01,1.01E-03,Soluble,High,Yes,No,No,No,Yes,No,No,-4.97,0,0,0,0,1,0.55,0,1,2,3.95,,2830,Inactive,,
,,plant  ,ARABITOL,94154,Molecule 455,OCC(C(C(CO)O)O)O,C5H12O5,152.15,10,0,1,4,5,5,31.96,101.15,0.56,-2.48,-2.95,-2.33,-1.59,-1.76,1.04,1.68E+03,1.10E+01,Highly soluble,0.9,1.20E+03,7.91E+00,Highly soluble,2.06,1.73E+04,1.14E+02,Soluble,Low,No,No,No,No,No,No,No,-8.99,0,3,0,0,2,0.55,0,0,1,2.94,,12500,Inactive,,
,,plant  ,CANNABICYCLOL,30607,Molecule 456,CCCCCc1cc(O)c2c(c1)OC1(C3C2C(C3CC1)(C)C)C,C21H30O2,314.46,23,6,0.71,4,2,1,96.01,29.46,4.05,6,5.43,4.48,5.41,5.07,-5.5,9.97E-04,3.17E-06,Moderately soluble,-6.4,1.26E-04,4.02E-07,Poorly soluble,-5.93,3.69E-04,1.17E-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,No,-3.96,1,0,0,0,1,0.55,0,0,1,4.37,,860,Inactive,,
,,plant  ,CANNABIDIOL,644019,Molecule 457,CCCCCc1cc(O)c(c(c1)O)C1C=C(C)CCC1C(=C)C,C21H30O2,314.46,23,6,0.52,6,2,2,99.85,40.46,3.9,6.52,5.85,4.31,5.42,5.2,-5.69,6.36E-04,2.02E-06,Moderately soluble,-7.17,2.14E-05,6.81E-08,Poorly soluble,-5.41,1.21E-03,3.86E-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-3.59,1,1,0,0,1,0.55,0,1,1,4.05,,500,Inactive/Active,,
"Tabebuia impetiginosa, T. Avellanedae",Basant-Rani,bark,XYLOIDONE,72734,Molecule 458,O=C1C2=C(C=CC(O2)(C)C)C(=O)c2c1cccc2,C15H12O3,240.25,18,6,0.2,0,3,0,66.81,43.37,2.32,2.59,2.68,1.32,3.12,2.41,-3.21,1.49E-01,6.20E-04,Soluble,-3.15,1.70E-01,7.09E-04,Soluble,-4.13,1.80E-02,7.48E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-5.93,0,0,0,0,0,0.85,1,0,1,3.56,,2000,Inactive,,
,,stem  ,ANISALDEHYDE,31244,Molecule 459,COc1ccc(cc1)C=O,C8H8O2,136.15,10,6,0.12,2,2,0,38.32,26.3,1.68,1.76,1.51,1.12,1.98,1.61,-2.1,1.07E+00,7.85E-03,Soluble,-1.93,1.60E+00,1.18E-02,Very soluble,-2.44,4.92E-01,3.61E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.88,0,3,0,0,1,0.55,0,1,1,1,,1510,Inactive,,
,,stem  ,TECTOQUINONE,6773,Molecule 460,Cc1ccc2c(c1)C(=O)c1c(C2=O)cccc1,C15H10O2,222.24,17,12,0.07,0,2,0,64.72,34.14,2.2,3.94,2.77,2.12,4.04,3.01,-4.22,1.33E-02,5.99E-05,Moderately soluble,-4.36,9.78E-03,4.40E-05,Moderately soluble,-5.64,5.13E-04,2.31E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-4.86,0,0,0,0,0,0.55,1,0,2,2.22,,2795,Inactive,,
,,stem  ,VERATRIC-ACID,90304,Molecule 461,COc1c(OC)cccc1C(=O)OCCN(C)C.Cl,C13H20ClNO4,289.76,19,6,0.46,7,5,0,74.99,48,0,2.56,2.22,1.64,1.69,1.62,-3.02,2.76E-01,9.53E-04,Soluble,-3.22,1.76E-01,6.09E-04,Soluble,-3.27,1.57E-01,5.41E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.25,0,0,0,0,0,0.55,0,0,0,2.44,,NA,Inactive,,
catharanthus Roseus,Sadapushpi,plant  ,Vinblastine,13342,Molecule 462,COc1cc2N(C)C3C4(c2cc1C1(CC2CN(CCc5c1[nH]c1c5cccc1)CC(C2)(O)CC)C(=O)OC)CCN1C4C(C(C3(O)C(=O)OC)OC(=O)C)(CC)C=CC1,C46H58N4O9,810.97,59,15,0.59,10,11,3,232.52,154.1,4.98,3.88,2.85,2.35,4.72,3.76,-6.84,1.17E-04,1.44E-07,Poorly soluble,-6.81,1.25E-04,1.54E-07,Poorly soluble,-8.46,2.80E-06,3.45E-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.49,2,3,1,1,4,0.17,0,2,3,9.65,,68,Inactive,,
,,plant  ,AJMALICINE,441975,Molecule 463,COC(=O)C1=COC(C2C1CC1N(C2)CCc2c1[nH]c1c2cccc1)C,C21H24N2O3,352.43,26,9,0.48,2,4,1,103.47,54.56,3.2,2.75,2.47,2.13,2.78,2.67,-3.88,4.63E-02,1.31E-04,Soluble,-3.55,9.92E-02,2.81E-04,Soluble,-4.38,1.47E-02,4.16E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.5,0,0,0,0,0,0.55,1,0,1,4.57,,300,Inactive/Active,,
,,plant  ,CATHAROSINE,101686461,Molecule 464,COC(=O)C1(O)C(O)C2(CC)C=CCN3C2C2(C1N(C)c1c2cccc1)CC3,C22H28N2O4,384.47,28,6,0.59,3,5,2,112.19,73.24,2.86,2.37,0.3,1.7,1.08,1.66,-3.68,8.08E-02,2.10E-04,Soluble,-3.55,1.09E-01,2.83E-04,Soluble,-2.96,4.24E-01,1.10E-03,Soluble,High,No,Yes,No,No,No,Yes,No,-6.96,0,0,0,0,0,0.55,0,1,1,5.41,,325,Inactive,,
Coriandrum sativum ,"Dhanyaka, Dhanika, vitunnaka (dhania)","seed, plant",beta-carotene,5280489,Molecule 465,CC(=CC=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C=CC=C(C=CC1=C(C)CCCC1(C)C)C,C40H56,536.87,40,0,0.45,10,0,0,184.43,0,7.79,13.54,12.61,8.96,12.65,11.11,-11.04,4.91E-09,9.15E-12,Insoluble,-13.6,1.34E-11,2.50E-14,Insoluble,-7.59,1.38E-05,2.56E-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,0.04,2,4,0,1,2,0.17,0,1,3,6.19,,1510,Inactive,,
,,"seed, plant",CAPRINALDEHYDE,8175,Molecule 466,CCCCCCCCCC=O,C10H20O,156.27,11,0,0.9,8,1,0,50.38,17.07,2.72,3.8,3.33,2.7,3.32,3.17,-2.67,3.30E-01,2.11E-03,Soluble,-3.85,2.19E-02,1.40E-04,Soluble,-3.44,5.67E-02,3.63E-04,Soluble,High,Yes,No,No,No,No,No,No,-4.56,0,1,0,0,2,0.55,0,1,3,1.62,,5000,Inactive,,
,,"seed, plant",CORIANDRIN,119586,Molecule 467,COc1c2c(=O)oc(cc2cc2c1cco2)C,C13H10O4,230.22,17,13,0.15,1,4,0,63.71,52.58,2.43,2.66,2.86,1.45,3.35,2.55,-3.44,8.30E-02,3.61E-04,Soluble,-3.42,8.84E-02,3.84E-04,Soluble,-5.02,2.18E-03,9.48E-06,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.82,0,0,0,0,0,0.55,0,0,1,2.9,,832,Inactive,,
,,"seed, plant",CORIANDRONE-A,131752231,Molecule 468,COc1cc2CC(C)OC(=O)c2c2c1CC(O2)C(O)(C)C,C16H20O5,292.33,21,6,0.56,2,5,1,76.84,64.99,2.55,2.22,1.87,1.75,2.86,2.25,-3.13,2.16E-01,7.41E-04,Soluble,-3.22,1.76E-01,6.03E-04,Soluble,-3.44,1.05E-01,3.61E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.51,0,0,0,0,0,0.55,0,0,0,3.92,,1000,Inactive,,
Ocimum tenuiflorum,"tulas?, suras?",leaf,ANETHOLE,637563,Molecule 469,CC=Cc1ccc(cc1)OC,C10H12O,148.2,11,6,0.2,2,1,0,47.83,9.23,2.55,3.3,2.62,2.67,2.79,2.79,-3.11,1.15E-01,7.77E-04,Soluble,-3.17,1.00E-01,6.77E-04,Soluble,-2.98,1.55E-01,1.04E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-4.86,0,1,0,0,2,0.55,0,0,1,1.47,,150,Inactive,,
,,leaf,(+)-DELTA-CADINENE,441005,Molecule 470,CC1=CC2C(=C(C)CCC2C(C)C)CC1,C15H24,204.35,15,0,0.73,1,0,0,69.04,0,3.32,3.8,4.73,4.63,4.12,4.12,-3.43,7.51E-02,3.67E-04,Soluble,-3.49,6.55E-02,3.20E-04,Soluble,-3.52,6.19E-02,3.03E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.85,1,0,0,0,1,0.55,0,1,2,4.14,,4390,Inactive,,
,,leaf,APIGENIN-7-O-BETA-D-GLUCOPYRANOSIDE,12304094,Molecule 471,OCC1OC(Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C(C(C1O)O)O,C21H20O10,432.38,31,16,0.29,4,10,6,106.11,170.05,2.17,1.81,0.05,-1.61,0.35,0.55,-3.78,7.19E-02,1.66E-04,Soluble,-5,4.32E-03,9.99E-06,Moderately soluble,-2.69,8.77E-01,2.03E-03,Soluble,Low,No,Yes,No,No,No,No,No,-7.65,1,0,1,1,2,0.55,0,0,1,5.12,,5000,Inactive,,
Ocimum basilicum,Barbari (sweet basil),essential oil,butyric-acid,264,Molecule 472,CCCC(=O)O,C4H8O2,88.11,6,0,0.75,2,2,1,23.11,37.3,1.1,0.79,0.87,0.49,0.13,0.68,-0.75,1.56E+01,1.77E-01,Very soluble,-1.15,6.18E+00,7.01E-02,Very soluble,-0.35,3.94E+01,4.48E-01,Soluble,High,Yes,No,No,No,No,No,No,-6.28,0,3,0,0,2,0.85,0,0,1,1,,91,Inactive,,
,,shoot essential oil,(-)-CEDRENOL,119831,Molecule 473,OC1CC23CC(C1=C)C(C3CCC2C)(C)C,C15H24O,220.35,16,0,0.87,0,1,1,68.04,20.23,2.85,3.56,3.39,3.67,3.27,3.35,-3.45,7.84E-02,3.56E-04,Soluble,-3.67,4.71E-02,2.14E-04,Soluble,-2.96,2.39E-01,1.09E-03,Soluble,High,Yes,No,No,No,Yes,No,No,-5.12,0,0,0,0,1,0.55,0,1,2,4.48,,NA,Inactive,,
,,shoot essential oil,BETA-DAMASCENONE,5366074,Molecule 474,CC=CC(=O)C1=C(C)C=CCC1(C)C,C13H18O,190.28,14,0,0.46,2,1,0,61.01,17.07,2.74,3.18,3.43,2.85,3.4,3.12,-2.89,2.44E-01,1.28E-03,Soluble,-3.21,1.17E-01,6.17E-04,Soluble,-2.63,4.48E-01,2.36E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.2,0,0,0,0,2,0.55,0,1,1,3.64,,5000,Inactive,,
,,shoot essential oil,CHAVICOL,68148,Molecule 475,C=CCc1ccc(cc1)O,C9H10O,134.18,10,6,0.11,2,1,1,42.57,20.23,1.85,2.85,2.12,2.37,2.47,2.33,-2.78,2.23E-01,1.66E-03,Soluble,-2.93,1.56E-01,1.17E-03,Soluble,-2.64,3.07E-01,2.29E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.09,0,1,0,0,2,0.55,0,1,1,1.14,,870,Inactive,,
Aloe barbadensis miller.,Ghrit-kumari and Gayatri,plant  ,Aloe-emodin,10207,Molecule 476,OCc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,C15H10O5,270.24,20,12,0.07,1,5,3,69.92,94.83,1.96,1.82,1.21,0.1,2.42,1.5,-3.04,2.46E-01,9.12E-04,Soluble,-3.43,1.00E-01,3.70E-04,Soluble,-3.92,3.22E-02,1.19E-04,Soluble,High,No,No,Yes,No,No,No,Yes,-6.66,0,0,0,0,0,0.55,1,0,0,2.6,,5000,Inactive/Active,,
,,plant  ,5-(hydroxymethyl)-7-methoxy-2-methylchromone (4),76955678,Molecule 477,COc1cc(CO)c2c(c1)oc(cc2=O)C,C12H12O4,220.22,16,10,0.25,2,4,1,60.07,59.67,2.09,1,1.45,0.25,2.76,1.51,-2.17,1.50E+00,6.83E-03,Soluble,-1.84,3.17E+00,1.44E-02,Very soluble,-3.96,2.40E-02,1.09E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,0,1,2.88,,NA,Inactive,,
,,plant  ,DIBUTYL-PHTHALATE,3026,Molecule 478,CCCCOC(=O)c1ccccc1C(=O)OCCCC,C16H22O4,278.34,20,6,0.5,10,4,0,77.84,52.6,2.97,4.5,3.6,3.43,3.97,3.69,-3.96,3.03E-02,1.09E-04,Soluble,-5.33,1.32E-03,4.73E-06,Moderately soluble,-4.98,2.93E-03,1.05E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-4.8,0,0,0,0,0,0.55,0,1,2,2.41,,3474,Inactive,,
Cinnamomum cassia,"tvak, Taja, Dalchini",stem bark and roots bark,"CINNAMYL-ALCOHOL, CINNZEYLANIN",5315892,Molecule 479,OCC=Cc1ccccc1,C9H10O,134.18,10,6,0.11,2,1,1,42.5,20.23,1.98,1.95,1.58,2.1,2.17,1.96,-2.21,8.23E-01,6.13E-03,Soluble,-2,1.34E+00,1.00E-02,Very soluble,-2.28,6.99E-01,5.21E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.73,0,1,0,0,2,0.55,0,0,1,1.5,,2000,Inactive,,
Alpinia galanga,"Sugandham?la, Malaya Vac?, Sth?lagranthi?",rhizome,RIBOFLAVIN,493570,Molecule 480,OCC(C(C(Cn1c2cc(C)c(cc2nc2c1nc(=O)[nH]c2=O)C)O)O)O,C17H20N4O6,376.36,27,14,0.41,5,8,5,96.99,161.56,0.97,-1.46,-1.68,-0.54,1.09,-0.32,-1.31,1.85E+01,4.93E-02,Very soluble,-1.43,1.40E+01,3.72E-02,Very soluble,-2.62,9.03E-01,2.40E-03,Soluble,Low,No,No,No,No,No,No,No,-9.63,0,1,1,1,1,0.55,0,1,1,3.84,"lung, breast, stomuch, multiple myeloma ",10000,Inactive,,
,,rhizome,1'-HYDROXYCHAVICOL-ACETATE,71596738,Molecule 481,C=CC(c1ccc(cc1)OC(=O)C)O,C11H12O3,192.21,14,6,0.18,4,3,1,53.21,46.53,2.21,1.7,1.51,1.88,2.1,1.88,-2.16,1.34E+00,6.98E-03,Soluble,-2.29,9.80E-01,5.10E-03,Soluble,-2.4,7.72E-01,4.02E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.27,0,0,0,0,1,0.55,0,2,1,2.09,,1670,Inactive,,
,,rhizome,SANTALENE,94164,Molecule 482,CC(=CCCC1(C)C2CC3C1(C)C3C2)C,C15H24,204.35,15,0,0.87,3,0,0,66.88,0,3.43,5.21,4.42,5.65,4.27,4.59,-4.19,1.32E-02,6.44E-05,Moderately soluble,-4.96,2.25E-03,1.10E-05,Moderately soluble,-3.55,5.73E-02,2.81E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.85,1,0,0,0,2,0.55,0,1,2,4.54,,5000,Inactive,,
berberis  vulgaris,"Daruharidra, Darunisa, Darurajani",root  ,THIAMIN,1130,Molecule 483,OCCc1sc[n+](c1C)Cc1cnc(nc1N)C,C12H17N4OS+,265.35,18,11,0.42,4,3,2,73.26,104.15,-1.6,1.02,0.62,0.05,2.54,0.53,-2.32,1.28E+00,4.83E-03,Soluble,-2.8,4.24E-01,1.60E-03,Soluble,-3.3,1.32E-01,4.99E-04,Soluble,High,No,Yes,No,No,No,No,No,-7.19,0,0,0,0,0,0.55,0,1,0,2.99,,1000,Inactive,,
,,plant  ,ZEAXANTHIN,5280899,Molecule 484,OC1CC(=C(C(C1)(C)C)C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC1=C(C)CC(CC1(C)C)O)C)C)C)C)C,C40H56O2,568.87,42,0,0.45,10,2,2,186.76,40.46,7.23,10.91,10.55,6.96,10.9,9.31,-9.58,1.50E-07,2.63E-10,Poorly soluble,-11.72,1.08E-09,1.90E-12,Insoluble,-5.94,6.52E-04,1.15E-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-2.02,2,4,0,1,1,0.17,0,1,3,6.78,,10,Inactive,,
,,plant  ,PELARGONIN,441772,Molecule 485,OCC1OC(Oc2cc(O)cc3c2cc(OC2OC(CO)C(C(C2O)O)O)c([o+]3)c2ccc(cc2)O)C(C(C1O)O)O,C27H31O15+,595.53,42,16,0.44,7,15,10,138.39,252.36,-2.02,-2.48,-1.85,-3.35,-3.56,-2.65,-1.79,9.66E+00,1.62E-02,Very soluble,-2.28,3.15E+00,5.28E-03,Soluble,0.27,1.10E+03,1.85E+00,Soluble,Low,No,No,No,No,No,No,No,-11.69,3,4,1,1,4,0.17,0,1,1,6.52,,5000,Inactive,,
Emblica officinalis,"Amalki, Dhatri, Shriphala, Amrutaphala, Vayasya",plant  ,emblicanin A,9810915,Molecule 486,O=C(c1cc(O)c(c(c1)O)O)OC1=C(OC(=O)c2cc(O)c(c(c2)O)O)C(=O)OC2C1OC(=O)c1cc(O)c(c(c1c1c(C(=O)OC2)cc(c(c1O)O)O)O)O,C34H22O22,782.53,56,24,0.09,6,22,12,176.12,374.26,1.11,1.61,1.37,-2.33,-1.06,0.14,-5.63,1.85E-03,2.36E-06,Moderately soluble,-9.08,6.49E-07,8.29E-10,Poorly soluble,-2.47,2.63E+00,3.37E-03,Soluble,Low,No,Yes,No,No,No,No,No,-9.93,3,3,1,1,4,0.11,1,2,1,6.27,"pancreas, stomach cancer",10000,Inactive,,
Gossypium hirsutum, Karpasa,fruit ,FOLACIN,135398658,Molecule 487,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)NCc1cnc2c(n1)c(=O)[nH]c(n2)N,C19H19N7O6,441.4,32,16,0.21,10,9,6,111.92,213.28,0.02,-1.08,-0.38,-0.62,0.24,-0.36,-1.61,1.09E+01,2.48E-02,Very soluble,-2.91,5.44E-01,1.23E-03,Soluble,-4.6,1.12E-02,2.54E-05,Moderately soluble,Low,No,No,No,No,No,No,No,-9.76,2,0,1,1,2,0.11,0,0,2,3.43,"liver, brain tumor,  malignant  lymphoma",135,Inactive,,
Morinda citrifolia,Aachchaka,fruit ,"-8,11,14-EICOSATRIENOIC-ACID",5280581,Molecule 488,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,C20H34O2,306.48,22,0,0.65,15,2,1,98.6,37.3,4.03,7.35,6.44,4.84,6.47,5.83,-5.38,1.28E-03,4.16E-06,Moderately soluble,-7.96,3.35E-06,1.09E-08,Poorly soluble,-4.75,5.40E-03,1.76E-05,Moderately soluble,High,No,No,Yes,No,Yes,No,No,-2.95,1,1,1,1,1,0.85,0,1,2,3.25,lung cancer,NA,Inactive,,
,,fruit ,UNDECANOIC-ACID,8180,Molecule 489,CCCCCCCCCCC(=O)O,C11H22O2,186.29,13,0,0.91,9,2,1,56.76,37.3,2.74,4.42,3.6,2.87,3.06,3.34,-3.19,1.22E-01,6.52E-04,Soluble,-4.92,2.23E-03,1.20E-05,Moderately soluble,-3.29,9.66E-02,5.19E-04,Soluble,High,Yes,No,No,No,No,No,No,-4.3,0,0,0,0,1,0.85,0,0,3,1.77,,900,Inactive,,
,,fruit ,VOMIFOLIOL,5280462,Molecule 490,CC(C=CC1(O)C(=CC(=O)CC1(C)C)C)O,C13H20O3,224.3,16,0,0.62,2,3,2,63.84,57.53,2.23,0.55,1.6,1.14,2.31,1.57,-1.45,8.05E+00,3.59E-02,Very soluble,-1.33,1.05E+01,4.68E-02,Very soluble,-1.71,4.38E+00,1.95E-02,Soluble,High,Yes,No,No,No,No,No,No,-7.28,0,0,0,0,0,0.55,0,1,1,3.92,,9000,Inactive,,
Oldenlandia diffusa,"daman pappar, pitpapra",,asperulosidic-acid,11968867,Molecule 491,OCC1OC(OC2OC=C(C3C2C(=CC3O)COC(=O)C)C(=O)O)C(C(C1O)O)O,C18H24O12,432.38,30,0,0.67,7,12,6,93.47,192.44,1.26,-3.2,-2.78,-2.41,-2.84,-1.99,-0.04,3.92E+02,9.06E-01,Very soluble,-0.27,2.31E+02,5.35E-01,Very soluble,2.59,1.67E+05,3.86E+02,Soluble,Low,No,No,No,No,No,No,No,-11.21,2,1,1,1,4,0.11,0,1,1,6.01,,2000,Inactive,,
Plumbago zeylanica,Chitrak,,plumbagin,10205,Molecule 492,CC1=CC(=O)c2c(C1=O)cccc2O,C11H8O3,188.18,14,6,0.09,0,3,1,51.07,54.37,1.79,2.29,1.72,0.59,2.22,1.72,-2.77,3.22E-01,1.71E-03,Soluble,-3.07,1.60E-01,8.53E-04,Soluble,-2.85,2.66E-01,1.42E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.82,0,0,0,0,1,0.55,2,0,1,2.41,"breast , liver cancer",16,Inactive/Active,,
Psoralea  corylifolia ,"Bakuchi, Avalguja, Somaraji",fruit ,(+)-BAKUCHIOL,5468522,Molecule 493,C=CC(C=Cc1ccc(cc1)O)(CCC=C(C)C)C,C18H24O,256.38,19,6,0.33,6,1,1,85.42,20.23,3.6,6.12,5.24,4.59,5.1,4.93,-5.12,1.93E-03,7.54E-06,Moderately soluble,-6.33,1.21E-04,4.71E-07,Poorly soluble,-4.47,8.65E-03,3.37E-05,Moderately soluble,High,Yes,No,No,Yes,Yes,No,No,-3.52,1,0,0,0,2,0.55,0,1,1,3.13,"lung  cancer,   liver  cancer,",2560,Inactive,,
,,seed,"2,3-EPOXYBAKUCHIOL",15818782,Molecule 494,C=CC(C=Cc1ccc(cc1)O)(CCC1OC1(C)C)C,C18H24O2,272.38,20,6,0.44,6,2,1,84.9,32.76,3.32,4.64,4.45,3.36,5.03,4.16,-4.28,1.44E-02,5.27E-05,Moderately soluble,-5.05,2.40E-03,8.83E-06,Moderately soluble,-4.43,1.02E-02,3.74E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-4.67,0,0,0,0,0,0.55,0,2,1,3.56,,4000,Inactive,,
,,seed,4-O-METHYLBAVACHALCONE,5321765,Molecule 495,COc1cc(O)c(cc1CC=C(C)C)C(=O)C=Cc1ccc(cc1)O,C21H22O4,338.4,25,12,0.19,6,4,2,100.51,66.76,3.44,5.43,4.4,2.92,4.78,4.19,-5.32,1.63E-03,4.81E-06,Moderately soluble,-6.59,8.74E-05,2.58E-07,Poorly soluble,-5.17,2.30E-03,6.79E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-4.51,0,0,0,0,1,0.55,0,2,1,3.1,,NA,Inactive,,
Prunella  vulgaris,Neela ghoongru ghaa,plant  ,ESCULETIN,5281416,Molecule 496,O=c1ccc2c(o1)cc(c(c2)O)O,C9H6O4,178.14,13,10,0,0,4,2,46.53,70.67,1.25,1.22,1.2,0.45,1.46,1.12,-2.28,9.30E-01,5.22E-03,Soluble,-2.3,8.90E-01,5.00E-03,Soluble,-2.46,6.19E-01,3.48E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.52,0,1,0,0,1,0.55,1,2,1,2.61,"breast, cervix, lung, stomach, colon,  thyroid cancer",945,Inactive,,
